,mean RSSI (dBm),Path ground distance (meters),Path angle (degrees),Mean percent canopy (percent),Vegetation variability (percent),Terrain complexity (meters),Source canopy (percent),Receiver canopy (percent)
1809,-92.84391785,82.64011826,18.94668879,61.79999924,2.859681368,9.075509071,61,59
1810,-81.28596497,36.47545381,3.516573985,61,0,1.092459917,61,61
1811,-91.0639267,84.45985891,20.37338088,60.7142868,8.035634995,10.20921898,61,43
1812,-90.77035522,59.11132866,15.26015033,63.66666794,2.065591097,5.936778069,61,61
1813,-67.48017883,66.15050917,12.06201123,21.4285717,7.276838779,4.86501503,16,26
1814,-80.8321991,44.765242,13.07516006,21.60000038,9.528903008,4.121126175,16,32
1815,-72.26660919,63.09701519,23.97641327,8.285714149,7.782764912,9.407549858,16,0
1816,-79.3972702,67.26908259,22.405419,8.285714149,7.782764912,9.407549858,16,0
1817,-75.42486572,131.3611446,2.973914063,14.30769253,10.76556683,2.155359507,16,0
1818,-53.33156204,18.34853609,9.445701748,5.5,7.7781744,2.129261494,0,11
1819,-83.31257629,292.1002595,0.347528581,4.636363506,4.891435146,3.963678598,0,0
1820,-77.89211273,172.5452992,11.9102828,6.571428776,4.812186718,10.94903183,0,0
1821,-85.05864716,263.9719764,16.15523366,2.619047642,3.827220917,23.48317528,0,0
1822,-91.17620087,497.6816882,7.507762382,2.457627058,4.572489262,26.20960617,0,17
1823,-86.90377045,502.6990358,9.600139313,7.88679266,12.57234478,31.568964,0,25
1824,-84.58896637,239.3452015,13.28924522,6.814815044,4.270083904,18.18675613,0,0
1825,-88.26327515,498.5450854,9.680895783,7.88679266,12.57234478,31.568964,0,25
1826,-78.97031403,192.6370799,0.554129182,6.652173996,4.588609219,3.256142378,0,0
1827,-92.02242279,256.8339736,1.810905536,6.222222328,4.534766197,3.953886271,0,8
1828,-86.11340332,209.4219228,9.513236885,5.230769157,5.383736134,11.78386116,0,12
1829,-79.73103333,194.7060292,13.30617741,7.391304493,4.120228767,13.95960045,0,7
1830,-80.7696991,145.7668413,3.627329983,1.399999976,2.872739315,2.448330164,0,7
1831,-76.60844421,201.1612904,1.391440501,6.333333492,4.668736458,3.485248566,0,0
1832,-80.27666473,251.7028789,6.236804774,4,4.951376438,11.03599548,0,0
1833,-61.44654083,12.90293758,13.49588777,5.5,7.7781744,2.129261494,0,11
1834,-94.96067047,354.4194753,9.599977919,4.818181992,4.581422329,15.8575964,7,0
1835,-79.84135437,66.71918361,1.079803918,2.333333254,3.614784479,1.270570278,7,0
1836,-76.09364319,62.08349022,1.160442114,2.333333254,3.614784479,1.270570278,7,0
1837,-94.51889038,369.6035881,4.403922917,5.106382847,4.124339581,7.777333736,7,0
1838,-90.6390152,400.6726109,4.409215402,5.882352829,3.896906853,8.958725929,7,0
1839,-89.14703369,106.6590914,13.05214425,1.399999976,2.951459169,8.340441704,7,0
1840,-94.46630859,192.909987,7.897870632,3,3.829708338,8.215661049,7,11
1841,-84.84321594,137.0296259,0.632052128,55.16666794,4.687184334,1.588678122,59,53
1842,-82.67071533,282.5471919,0.599250661,41.25,8.906518936,1.047446847,43,61
1843,-92.15180206,150.7976715,4.584947486,37.875,17.59876823,4.285941601,18,63
1844,-87.56472778,107.4052087,2.928436462,27,6.928203106,1.760993004,18,39
1845,-68.4116745,53.15952883,0.908123061,18.33333397,0.516397774,0.325970083,18,19
1846,-66.5316925,49.11494841,1.519902571,44,20.13951302,0.496220648,18,57
1847,-90.35373688,198.8719469,3.047699441,46.59090805,17.14548111,3.376130819,18,19
1848,-41.21924591,11.00616935,0.869359211,18,0,0.118081309,18,18
1849,-88.70306396,144.6175078,5.457969379,34.20000076,18.25689697,4.898483753,18,43
1850,-89.8031311,172.1513699,3.424149459,27.60000038,9.79650116,3.918660164,18,48
1851,-68.00302124,64.68223985,1.495288183,30.22222137,16.35372925,0.562831402,18,52
1852,-88.10649872,161.3111884,5.626095585,48.95000076,17.98676491,5.18703413,18,51
1853,-80.22453308,56.51996512,2.711666039,30.33333397,7.033254147,0.950911462,18,40
1854,-89.03486633,128.6378568,1.395232367,46.9375,15.0575285,1.030810118,18,44
1855,-92.11373138,232.5021993,3.104830877,28.64999962,11.37529659,4.776439667,18,51
1856,-80.39702606,225.1664355,1.093261412,5.518518448,4.74236536,3.517578125,0,11
1857,-65.60527802,61.56071937,5.15910256,0,0,2.10580492,0,0
1858,-79.59306335,155.458976,10.48963299,4.333333492,5.49891758,9.62651062,0,0
1859,-83.63087463,395.3371896,11.78670955,2.553191423,3.456616163,27.59765625,0,0
1860,-92.41700745,544.6811593,9.833627142,2.746268749,3.615385056,25.882658,0,0
1861,-83.77610779,235.7420273,9.843588144,3.818181753,5.1790452,12.45802021,0,10
